[][--Logs--][]
28.12.2019 | 12:05:49 | Создатель | ID: 1 | URL: vk.com/id239209526 | ваппваылваыв
28.12.2019 | 12:06:26 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Короче как кейсы пилить + я запилил подсказки при ошибке в лс бота
28.12.2019 | 12:07:54 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Ну...
28.12.2019 | 12:08:15 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Питомцы
28.12.2019 | 12:08:26 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Чего?
28.12.2019 | 12:09:34 | Создатель | ID: 1 | URL: vk.com/id239209526 | !1 user
28.12.2019 | 12:10:13 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | поиск https:vk.comdrawfox56
28.12.2019 | 12:10:24 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | поиск vk.comdrawfox56
28.12.2019 | 12:10:30 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Бал
28.12.2019 | 12:10:39 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | !3 user.home = 3
28.12.2019 | 12:10:45 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | !3 user.home = 10
28.12.2019 | 12:11:25 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Питомцы
28.12.2019 | 12:12:37 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Ну например 1000-1500 печенек за кейс
28.12.2019 | 12:12:43 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Можно же как то сделать проценты?
28.12.2019 | 12:14:32 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Можно.
28.12.2019 | 12:14:39 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Кейс будет стоит ~300
28.12.2019 | 12:14:42 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Или 200
28.12.2019 | 12:15:21 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Да ну
28.12.2019 | 12:15:27 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Давай 800 что ли
28.12.2019 | 12:16:17 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Вообще я хотел, чтобы они, какой то бонус давали
28.12.2019 | 12:17:25 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Копать а 🔋
28.12.2019 | 12:17:41 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Может вообще на основу кейсы запилить?
28.12.2019 | 12:17:53 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Ну
28.12.2019 | 12:18:15 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Но с бонусом от Петра было бы лучше
28.12.2019 | 12:18:28 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Типо x2 бонус к долларам
28.12.2019 | 12:37:32 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Не понял
