[][--Logs--][]
05.11.2019 | 22:26:40 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Тест
05.11.2019 | 22:27:02 | Игрок | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Тест
05.11.2019 | 22:27:06 | Игрок | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Тест
05.11.2019 | 22:27:07 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Такс
05.11.2019 | 22:27:08 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Помощь 📋
05.11.2019 | 22:27:11 | Игрок | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Такс
05.11.2019 | 22:27:15 | Игрок | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Помощь 📋
05.11.2019 | 22:27:52 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Кстати в репорт тебя добавить?
05.11.2019 | 22:28:17 | Игрок | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Можно
05.11.2019 | 22:32:19 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Все
05.11.2019 | 22:35:19 | Игрок | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | репорт ты
05.11.2019 | 22:35:23 | Игрок | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Репорт ты
05.11.2019 | 22:35:28 | Игрок | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Ща чекну
05.11.2019 | 22:35:38 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | ! logback()
05.11.2019 | 22:35:43 | Игрок | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Репорт
05.11.2019 | 22:35:44 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | кхе
05.11.2019 | 22:35:48 | Игрок | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Репорт ке
