[][--Logs--][]
20.11.2019 | 18:27:52 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | unmute 2
20.11.2019 | 18:27:57 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | get 2
20.11.2019 | 18:28:02 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | ban 2
20.11.2019 | 18:28:06 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | ban 2 test
20.11.2019 | 18:28:10 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | get 2
20.11.2019 | 18:28:18 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | unban 2
20.11.2019 | 18:29:40 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | !2 user.refm = 2
20.11.2019 | 18:29:51 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | !2 user.refm = 0
20.11.2019 | 18:29:54 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | get 2
20.11.2019 | 18:31:19 | Игрок | ID: 2 | URL: vk.com/id492001563 | проф
20.11.2019 | 18:31:53 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | !2 user
20.11.2019 | 18:33:04 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Помощь 📋
20.11.2019 | 18:33:06 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Профиль 📗
