[][--Logs--][]
26.12.2019 | 18:37:42 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Печеньки
26.12.2019 | 18:37:55 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | !1 user.ev += 5000
26.12.2019 | 18:37:59 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | печеньки
26.12.2019 | 18:49:05 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | отлично
26.12.2019 | 18:49:11 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | мне бы столько печенек)
26.12.2019 | 18:51:22 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | можно вообще подарочки?
26.12.2019 | 19:00:12 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Не печеньки
26.12.2019 | 19:00:13 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | помощь
26.12.2019 | 19:00:14 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Можно с молочком))))))))))))))))))))))))))
26.12.2019 | 19:00:16 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Можно подарочки запилить
26.12.2019 | 19:05:00 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | кнопки стандартные
26.12.2019 | 19:05:10 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | стандартные
26.12.2019 | 19:05:32 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | стандарт
26.12.2019 | 19:05:37 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | кейс новогодний будет?
26.12.2019 | 19:05:49 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Наверное можно
26.12.2019 | 19:05:58 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | null
26.12.2019 | 19:05:58 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Сейчас главное написать грамотную систему
26.12.2019 | 19:06:12 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Чтобы нельзя было на изи фармить печеньки
26.12.2019 | 19:06:34 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | 1000 печенек за один кейс
26.12.2019 | 19:06:43 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | кстати, стадий не будет?
26.12.2019 | 19:08:32 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Сейчас точно нет.
26.12.2019 | 19:08:37 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | бонус
26.12.2019 | 19:09:47 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | помощь
