[][--Logs--][]
19.11.2019 | 20:57:05 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | check
19.11.2019 | 20:57:19 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | givemoney 2 5kkkk
19.11.2019 | 20:57:23 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | checl
19.11.2019 | 20:57:25 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | check
19.11.2019 | 20:57:39 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | !2 user.level
19.11.2019 | 20:57:47 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | get 3
19.11.2019 | 20:57:54 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | get 4
19.11.2019 | 20:57:57 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | get 5
19.11.2019 | 20:58:15 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | setadm 5 0
19.11.2019 | 20:58:24 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | givemoney 5 5kkk
19.11.2019 | 20:58:25 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | check
19.11.2019 | 20:58:34 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | givemoney 5 5kkk
19.11.2019 | 20:58:38 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | check
19.11.2019 | 20:58:40 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Ник Homo Sapien
19.11.2019 | 20:59:47 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Да как бесит этот Стим!
19.11.2019 | 20:59:54 | VIP+ | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | +
19.11.2019 | 21:00:31 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Кстати, видели новую операцию в КС?
19.11.2019 | 21:01:04 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Спустя 3 года Гейб решил вернуть операции
19.11.2019 | 21:01:15 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Правда стоит она 972 рубля
19.11.2019 | 21:04:15 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Неа, не видел.
