[][--Logs--][]
28.12.2019 | 17:24:47 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | репорт тест
28.12.2019 | 17:24:55 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | НУУ ля
28.12.2019 | 18:00:22 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | В два раза больше долларов будешь получать
28.12.2019 | 18:22:35 | Игрок | ID: 2 | ID Chat: 1 | URL: vk.com/id492001563 | Яяячрик в новогоднюю ночь выигрыш x10 в вабанке
28.12.2019 | 19:06:39 | Гл.Администратор | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | lol
28.12.2019 | 19:17:00 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Ивент уже есть в боте такой.
28.12.2019 | 19:18:09 | Игрок | ID: 2 | ID Chat: 1 | URL: vk.com/id492001563 | Ти шо прям на час x100 поставь
28.12.2019 | 19:18:12 | Игрок | ID: 2 | ID Chat: 1 | URL: vk.com/id492001563 | Пиздата будет
28.12.2019 | 19:18:26 | Игрок | ID: 2 | ID Chat: 1 | URL: vk.com/id492001563 | Люди вместо празника булут игратб
28.12.2019 | 19:18:33 | Игрок | ID: 2 | ID Chat: 1 | URL: vk.com/id492001563 | Эканомика подет
28.12.2019 | 19:18:35 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | А после часа, верни им в 100 раз меньше)
28.12.2019 | 19:18:44 | Игрок | ID: 2 | ID Chat: 1 | URL: vk.com/id492001563 | Да
28.12.2019 | 19:18:52 | Игрок | ID: 2 | ID Chat: 1 | URL: vk.com/id492001563 | Тока не говорим
28.12.2019 | 19:18:55 | Игрок | ID: 2 | ID Chat: 1 | URL: vk.com/id492001563 | Секретный
28.12.2019 | 19:19:00 | Игрок | ID: 2 | ID Chat: 1 | URL: vk.com/id492001563 | Пусть ахереют
28.12.2019 | 19:21:13 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Можно базу засейвить
28.12.2019 | 19:21:27 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | И сделать какую нибудь фигню🤷‍♂
28.12.2019 | 19:23:08 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Давай просто сделаем вабанк в 100 раз больше
28.12.2019 | 19:23:18 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Чтобы поиграли)
28.12.2019 | 19:23:33 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | А потом просто в 100 раз их Балики снизим
28.12.2019 | 19:23:57 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | А так они хотя бы в любом случае пофармят
28.12.2019 | 19:25:09 | Гл.Администратор | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Не
28.12.2019 | 19:25:15 | Гл.Администратор | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Бомбить будут
28.12.2019 | 19:25:18 | Гл.Администратор | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Это как
28.12.2019 | 19:25:25 | Гл.Администратор | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Взять тебе по русс.яз
28.12.2019 | 19:25:31 | Гл.Администратор | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Поставить 10 пятёрок
28.12.2019 | 19:25:35 | Гл.Администратор | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | А потом их нахер
28.12.2019 | 19:25:37 | Гл.Администратор | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Убрать
28.12.2019 | 19:25:43 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | А что? В любом случае например
28.12.2019 | 19:26:01 | Гл.Администратор | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Можно поставить х100
28.12.2019 | 19:26:01 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Поставил 2ккк выиграл 400ккк
28.12.2019 | 19:26:08 | Гл.Администратор | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | А потом резко опустить
28.12.2019 | 19:26:20 | Гл.Администратор | ID: 7 | ID Chat: 1 | URL: vk.com/id504681094 | Но при этом они не должны знать
28.12.2019 | 19:26:31 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | А потом через час снимем х100 и будет уже 4ккк
28.12.2019 | 19:27:19 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | А стоп
28.12.2019 | 19:27:27 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Не
28.12.2019 | 19:27:33 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Тогда х200
28.12.2019 | 19:27:40 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Чтобы удваивалось
