[][--Logs--][]
27.12.2019 | 21:56:23 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | null
27.12.2019 | 21:56:27 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | null
27.12.2019 | 21:56:32 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | !27 user.ev
27.12.2019 | 21:56:38 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | EHF!!!!!!!!!!!!!!!!!!!
27.12.2019 | 21:56:42 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | УРА*
27.12.2019 | 21:56:45 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | null
27.12.2019 | 21:56:48 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | null
27.12.2019 | 21:57:35 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | зачисление печенек готово!
27.12.2019 | 22:55:05 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | помощь
27.12.2019 | 22:59:19 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Какую команду сделать для покупки петов?
27.12.2019 | 23:00:28 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | общий
