[][--Logs--][]
07.12.2019 | 18:41:21 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | О боже
07.12.2019 | 18:41:31 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | На 10 саблайн при запущенном боте не тупит
07.12.2019 | 18:43:23 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Как бы хотелось быт гл.админом быть)
07.12.2019 | 18:43:34 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Как матч закончился?
07.12.2019 | 18:49:09 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | хех
07.12.2019 | 18:49:17 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Нет, до всех пор на нём
07.12.2019 | 18:49:51 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Счёт какой?
07.12.2019 | 18:50:02 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | А можно?
07.12.2019 | 18:50:26 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Это шутка была, счет 3:0
07.12.2019 | 18:50:30 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | хз
07.12.2019 | 18:50:42 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Пж
07.12.2019 | 18:50:46 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Умоляю
07.12.2019 | 18:50:53 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Я буду онлайн очень много
07.12.2019 | 18:50:59 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | null
07.12.2019 | 18:52:52 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Умоляю
07.12.2019 | 18:53:20 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Возможно только после администратора
