[][--Logs--][]
06.11.2019 | 21:13:31 | Гл.Администратор | ID: 2 | ID Chat: 5 | URL: vk.com/id492001563 | Ярик думай а ч пошел
06.11.2019 | 21:13:48 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | переверни тест тест
06.11.2019 | 21:13:52 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | о
06.11.2019 | 21:14:02 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | 
06.11.2019 | 21:14:17 | Гл.Администратор | ID: 2 | ID Chat: 1 | URL: vk.com/id492001563 | ?
06.11.2019 | 21:15:37 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Пробел
06.11.2019 | 21:16:00 | Гл.Администратор | ID: 2 | ID Chat: 1 | URL: vk.com/id492001563 | Куда запятую поставил?
06.11.2019 | 21:16:31 | Гл.Администратор | ID: 2 | ID Chat: 1 | URL: vk.com/id492001563 | Переверни тес тест тест
06.11.2019 | 21:16:48 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | ' ': ' '
06.11.2019 | 21:16:52 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Дописал
06.11.2019 | 21:17:02 | Гл.Администратор | ID: 2 | ID Chat: 1 | URL: vk.com/id492001563 | Угу
06.11.2019 | 21:29:52 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Сделать медальки, переделать сборочные, имущество, переделать команду кто
06.11.2019 | 21:29:56 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | 
06.11.2019 | 22:30:28 | Создатель | ID: 1 | ID Chat: 5 | URL: vk.com/id239209526 | 
06.11.2019 | 22:31:58 | Создатель | ID: 1 | ID Chat: 5 | URL: vk.com/id239209526 | Или випку на время🤷‍♂️
06.11.2019 | 22:33:00 | Игрок | ID: 3 | ID Chat: 5 | URL: vk.com/id283752053 | Хеллоуинский ещё
06.11.2019 | 22:33:26 | Создатель | ID: 1 | ID Chat: 5 | URL: vk.com/id239209526 | Хэллоун прошел
06.11.2019 | 22:33:36 | Игрок | ID: 3 | ID Chat: 5 | URL: vk.com/id283752053 | Так на следующий
06.11.2019 | 22:33:55 | Создатель | ID: 1 | ID Chat: 5 | URL: vk.com/id239209526 | До следующего дожить надо))
06.11.2019 | 22:34:31 | Игрок | ID: 3 | ID Chat: 5 | URL: vk.com/id283752053 | Надеюсь стадии будут, мне лично идея очень нравится
06.11.2019 | 22:36:30 | Игрок | ID: 3 | ID Chat: 5 | URL: vk.com/id283752053 | Окей, думаю будет отлично сделать новое оформление для конкурс группы
