[][--Logs--][]
23.11.2019 | 21:55:08 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Рег
23.11.2019 | 21:55:17 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Готово!
23.11.2019 | 21:55:24 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id239209526 | Реф по ссылке теперь работает)
23.11.2019 | 21:55:24 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Что готово?
23.11.2019 | 21:55:27 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Реф
23.11.2019 | 21:55:28 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | А на прошлой с 2010 было...
23.11.2019 | 21:55:45 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | хз
23.11.2019 | 21:55:52 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Реф 3
23.11.2019 | 21:56:01 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Я имею ввиду старую страницу
23.11.2019 | 21:56:02 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Це вам
23.11.2019 | 21:56:10 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | А что с ней?
23.11.2019 | 21:56:30 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Removerikl 3 100
23.11.2019 | 21:56:37 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | А еще я бота на 30мб облегчил
23.11.2019 | 21:56:39 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Пароль и логин не знаю
23.11.2019 | 21:56:58 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Removemoney 3 all
23.11.2019 | 21:56:59 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Мне страницу сестра делала, ибо мне тогда 4 года было
23.11.2019 | 21:57:04 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Removemoney 3
23.11.2019 | 21:57:16 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Givemoney 23 100000000000000
23.11.2019 | 21:57:25 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Mute 23 5
23.11.2019 | 21:57:36 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Я тестил
23.11.2019 | 21:57:38 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Mute 23 5 F
23.11.2019 | 21:57:40 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Ноу плеасе
23.11.2019 | 21:57:47 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | mute 3 5 бред
23.11.2019 | 21:57:51 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Ваат
23.11.2019 | 21:57:51 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Ну ладно🤔
23.11.2019 | 21:57:55 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | timeban 23 2
23.11.2019 | 21:58:02 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | ban
23.11.2019 | 21:58:41 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | админа мутить нельзя
23.11.2019 | 21:58:41 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Ну ладно, я пошёл др......
23.11.2019 | 21:58:46 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Ютуб смотреть
23.11.2019 | 21:58:59 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Помощь 📋
23.11.2019 | 21:59:04 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Хотя хз🤔
23.11.2019 | 21:59:11 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Setadmin
23.11.2019 | 21:59:16 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Setadmin 3 1
23.11.2019 | 21:59:22 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Oops...
23.11.2019 | 21:59:53 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | setadm
23.11.2019 | 22:02:55 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | setadm 3 1
23.11.2019 | 22:03:00 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | oops)
23.11.2019 | 22:03:04 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | set adm 3 6
23.11.2019 | 22:03:10 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | setadm 3 6
23.11.2019 | 22:03:48 | Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Телефон отрубился👌
23.11.2019 | 22:03:56 | Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Giveback
23.11.2019 | 22:04:02 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | get 3
23.11.2019 | 22:04:08 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Blockprofile 3 1
23.11.2019 | 22:04:10 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Setadm 23 3
23.11.2019 | 22:04:18 | Toster | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Giveback
23.11.2019 | 22:04:25 | Toster | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Verni
23.11.2019 | 22:04:26 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Mute 23 5 F
