[][--Logs--][]
17.11.2019 | 20:56:06 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | genpromo халява 1 10 4kkk
17.11.2019 | 20:56:33 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | genpromo халява 2 10 4kkk
17.11.2019 | 20:56:42 | VIP+ | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Промокод халява
17.11.2019 | 20:56:43 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | genpromo халява 3 10 4kkk
17.11.2019 | 20:56:48 | VIP+ | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Вау
17.11.2019 | 20:56:53 | VIP+ | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Промокод халява
17.11.2019 | 20:57:12 | VIP+ | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | А можешь сделать так в боте 3 активации\
17.11.2019 | 20:57:38 | VIP+ | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | На 5кккк
17.11.2019 | 20:57:39 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Могу
17.11.2019 | 20:57:48 | VIP+ | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Сделай плиз
17.11.2019 | 20:57:49 | VIP+ | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Я введу
17.11.2019 | 20:57:52 | VIP+ | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Быренько
17.11.2019 | 21:13:29 | Игрок | ID: 2 | ID Chat: 1 | URL: vk.com/id492001563 | Так епт
17.11.2019 | 21:44:16 | Создатель | ID: 1 | ID Chat: 5 | URL: vk.com/id239209526 | Эм..
17.11.2019 | 21:44:19 | Создатель | ID: 1 | ID Chat: 5 | URL: vk.com/id239209526 | Он спутал
17.11.2019 | 22:04:29 | Игрок | ID: 2 | ID Chat: 5 | URL: vk.com/id492001563 | 
17.11.2019 | 22:27:56 | Создатель | ID: 1 | ID Chat: 5 | URL: vk.com/id239209526 | Хм... Нам нужен человек для ведения страницы..
